唐人街探案3,继曼谷、纽约之后，东京再出大案。唐人街神探唐仁、秦风受侦探野田昊的邀请前往破案。“CRIMASTER世界侦探排行榜”中的侦探们闻讯后也齐聚东京，加入挑战，而排名第一Q的现身，让这个大案更加扑朔迷离，一场亚洲最强神探之间的较量即将爆笑展开……腾讯视频4月30日16点全网首播
唐人街探案3,“曼谷夺金杀人案”“纽约五行连环杀人案”后，“唐人街神探组合”唐仁，秦风被有着“日本第一名侦探”之称绰号“花蝴蝶”的“野田昊”请到东京，路遇“超强变身能力”的韩国侦探朴大基的阻拦，调查一桩离奇的谋杀案。
反贪风暴4,廉政公署收到报案人廖雨萍（周秀娜饰）的实名举报，举报正在坐牢的富二代曹元元（林峯饰）涉嫌行贿监狱里的监督沈济全（谭耀文饰）以及惩教员，首席调查主任陆志廉（古天乐饰）决定深入虎穴，卧底狱中。在监狱里，被陆志廉送入监狱的前警司黄文彬（林家栋饰）以及曹元元两大帮派势成水火，陆志廉趁机接近曹元元取得信任。同时监狱外的廉政公署总调查主任程德明（郑嘉颖饰）、国内反贪局行动处处长洪亮（丁海峰饰）也陆港联手，通力合作，最终成功破获贪腐行贿大案。
长白·太岁,医女白素馨和蛇仙柳龙庭即将大婚之际，柳龙庭却意外发现新娘不是白素馨，而是他五百年前的恋人夏紫苏。原来夏紫苏患病险些身亡，后被高人所救，多年来一直潜心修行。得知柳龙庭大婚，不甘心的夏紫苏便大闹婚宴，甚至不惜用龙庭姐姐的性命要挟。素馨坚定地与龙庭携手并肩对抗紫苏，最终解开重重误会，渡过难关，有情人终成眷属。
三重威胁之跨国大营…,某东南亚小国，龙飞（陈虎饰）和帕于（托尼贾饰）为了谋生，参加了一项秘密的“人道主义救援”任务，没想到他们救下的却是臭名昭著的犯罪分子柯林斯（斯科特·阿金斯饰）俩人还差点为此送命。密谋报仇的二人在地下拳赛中碰到了武艺高强的扎卡（伊科·乌艾斯），扎卡的妻子在这次行动中无辜殒命，三人把酒言欢，没想到第二天扎卡就把他们送到了警察局。中国富商的女儿田小娴（卢靖姗饰）因做慈善触动了黑帮的利益而被追杀，仓皇逃入警察局，而这时黑帮尾随而至，血洗警局。龙飞和帕于只好带着田小娴踏上亡命之旅，两人赤手空拳，杀手如影随形，田小娴满腹疑虑，扎卡敌友莫辩，幕后黑手若隐若现。龙飞和帕于最终与敌人展开了殊死一战。
黄飞鸿之武神林世荣,清朝末年，林世荣来到广州，成为一名屠夫，外号“猪肉荣”。一次，林世荣因抗拒阿太前来猪肉摊收保护费，与阿太成了不打不相识的朋友，并得知阿太正在悄悄拉帮结派，为的是对付几个明里开武馆、暗里收集情报的日本人。林世荣与阿太联手，经一番恶战，终将日本人的阴谋粉粹，阿太为此牺牲，林世荣决定拜黄飞鸿为师，练好功夫，为保护百姓出力。
功夫,1940年代的上海，自小受尽欺辱的街头混混阿星（周星驰）为了能出人头地，可谓窥见机会的缝隙就往里钻，今次他盯上行动日益猖獗的黑道势力“斧头帮”，想借之大名成就大业。阿星假冒“斧头帮”成员试图在一个叫“猪笼城寨”的地方对居民敲诈，不想引来真的“斧头帮”与“猪笼城寨”居民的恩怨。“猪笼城寨”原是藏龙卧虎之处，居民中有许多身怀绝技者（元华、梁小龙等），他们隐藏于此本是为远离江湖恩怨，不想麻烦自动上身，躲都躲不及。而在观战正邪两派的斗争中，阿星逐渐领悟功夫的真谛。
战疫时期的爱情,整个作品以“疫情中的爱”为构思设计出发点进行主题设计，采用多线叙事结构，以七对男女的故事交错呈现，展现疫情期间人们守望相助的动人情感。故事中，有绝望的患者、驰援的志愿者、一线的医护，还有平凡的外地居民，他们是这场疫情中每一个中国人的缩影。这些故事中所呈现的爱的力量，体现了本作品的创作初衷与现实落点。
白蛇:缘起,失忆少女小白被捕蛇人阿宣所救，为了解开自己的身份谜团，小白在阿宣的帮助下开始寻找线索。两人历经艰难险阻，年少男女在一路冒险中萌生爱慕之情。同时，小白的蛇妖身份也逐渐揭开，一场围绕人与妖的纠葛爱情故事随之展开。
致命狙杀,传奇狙击手左英杰一战成名屡立奇功，却遭人构陷含冤入狱。狱中的他意外接到来自冷艳女特工沈雪的绝密任务——刺杀日本细菌战专家北野清张。左英杰临危受命，不料却被叛徒出卖，遭遇战场宿敌日军王牌狙击手下川国正伏击，身陷险境，一场惊天阴谋逐渐浮出水面。国恨家仇、狭路相逢，巅峰对决一触即发……
